CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT
3.77498;0.0;18.1;0;0.655;5.952;84.7;2.8715;24;666;20.2;22.01;17.15
0.12579;45.0;3.44;0;0.437;6.556;29.1;4.5667;5;398;15.2;382.84;4.56
0.31533;0.0;6.2;0;0.504;8.266;78.3;2.8944;8;307;17.4;385.05;4.14
0.0566;0.0;3.41;0;0.489;7.007;86.3;3.4217;2;270;17.8;396.9;5.5
12.8023;0.0;18.1;0;0.74;5.854;96.6;1.8956;24;666;20.2;240.52;23.79
0.32982;0.0;21.89;0;0.624;5.822;95.4;2.4699;4;437;21.2;388.69;15.03
0.05372;0.0;13.92;0;0.437;6.549;51.0;5.9604;4;289;16.0;392.85;7.39
2.14918;0.0;19.58;0;0.871;5.709;98.5;1.6232;5;403;14.7;261.95;15.79
4.55587;0.0;18.1;0;0.718;3.561;87.9;1.6132;24;666;20.2;354.7;7.12
0.08308;0.0;2.46;0;0.488;5.604;89.8;2.9879;3;193;17.8;391.0;13.98
0.11504;0.0;2.89;0;0.445;6.163;69.6;3.4952;2;276;18.0;391.83;11.34
0.22927;0.0;6.91;0;0.448;6.03;85.5;5.6894;3;233;17.9;392.74;18.8
0.17899;0.0;9.69;0;0.585;5.67;28.8;2.7986;6;391;19.2;393.29;17.6
1.27346;0.0;19.58;1;0.605;6.25;92.6;1.7984;5;403;14.7;338.92;5.5
7.52601;0.0;18.1;0;0.713;6.417;98.3;2.185;24;666;20.2;304.21;19.31
15.8603;0.0;18.1;0;0.679;5.896;95.4;1.9096;24;666;20.2;7.68;24.39
4.22239;0.0;18.1;1;0.77;5.803;89.0;1.9047;24;666;20.2;353.04;14.64
1.83377;0.0;19.58;1;0.605;7.802;98.2;2.0407;5;403;14.7;389.61;1.92
20.7162;0.0;18.1;0;0.659;4.138;100.0;1.1781;24;666;20.2;370.22;23.34
10.8342;0.0;18.1;0;0.679;6.782;90.8;1.8195;24;666;20.2;21.57;25.79
0.98843;0.0;8.14;0;0.538;5.813;100.0;4.0952;4;307;21.0;394.54;19.88
0.15098;0.0;10.01;0;0.547;6.021;82.6;2.7474;6;432;17.8;394.51;10.3
0.3692;0.0;9.9;0;0.544;6.567;87.3;3.6023;4;304;18.4;395.69;9.28
0.02763;75.0;2.95;0;0.428;6.595;21.8;5.4011;3;252;18.3;395.63;4.32
0.13642;0.0;10.59;0;0.489;5.891;22.3;3.9454;4;277;18.6;396.9;10.87
0.21719;0.0;10.59;1;0.489;5.807;53.8;3.6526;4;277;18.6;390.94;16.03
0.01951;17.5;1.38;0;0.4161;7.104;59.5;9.2229;3;216;18.6;393.24;8.05
2.73397;0.0;19.58;0;0.871;5.597;94.9;1.5257;5;403;14.7;351.85;21.45
0.08199;0.0;13.92;0;0.437;6.009;42.3;5.5027;4;289;16.0;396.9;10.4
0.08387;0.0;12.83;0;0.437;5.874;36.6;4.5026;5;398;18.7;396.06;9.1
0.26363;0.0;8.56;0;0.52;6.229;91.2;2.5451;5;384;20.9;391.23;15.55
0.16439;22.0;5.86;0;0.431;6.433;49.1;7.8265;7;330;19.1;374.71;9.52
0.54452;0.0;21.89;0;0.624;6.151;97.9;1.6687;4;437;21.2;396.9;18.46
4.75237;0.0;18.1;0;0.713;6.525;86.5;2.4358;24;666;20.2;50.92;18.13
0.18159;0.0;7.38;0;0.493;6.376;54.3;4.5404;5;287;19.6;396.9;6.87
0.12329;0.0;10.01;0;0.547;5.913;92.9;2.3534;6;432;17.8;394.95;16.21
8.05579;0.0;18.1;0;0.584;5.427;95.4;2.4298;24;666;20.2;352.58;18.14
0.0578;0.0;2.46;0;0.488;6.98;58.4;2.829;3;193;17.8;396.9;5.04
0.14455;12.5;7.87;0;0.524;6.172;96.1;5.9505;5;311;15.2;396.9;19.15
0.05646;0.0;12.83;0;0.437;6.232;53.7;5.0141;5;398;18.7;386.4;12.34
0.04684;0.0;3.41;0;0.489;6.417;66.1;3.0923;2;270;17.8;392.18;8.81
0.09299;0.0;25.65;0;0.581;5.961;92.9;2.0869;2;188;19.1;378.09;17.93
0.01538;90.0;3.75;0;0.394;7.454;34.2;6.3361;3;244;15.9;386.34;3.11
2.37857;0.0;18.1;0;0.583;5.871;41.9;3.724;24;666;20.2;370.73;13.34
0.05644;40.0;6.41;1;0.447;6.758;32.9;4.0776;4;254;17.6;396.9;3.53
0.20608;22.0;5.86;0;0.431;5.593;76.5;7.9549;7;330;19.1;372.49;12.5
0.05479;33.0;2.18;0;0.472;6.616;58.1;3.37;7;222;18.4;393.36;8.93
0.11747;12.5;7.87;0;0.524;6.009;82.9;6.2267;5;311;15.2;396.9;13.27
4.66883;0.0;18.1;0;0.713;5.976;87.9;2.5806;24;666;20.2;10.48;19.01
0.0315;95.0;1.47;0;0.403;6.975;15.3;7.6534;3;402;17.0;396.9;4.56
0.0795;60.0;1.69;0;0.411;6.579;35.9;10.7103;4;411;18.3;370.78;5.49
0.13158;0.0;10.01;0;0.547;6.176;72.5;2.7301;6;432;17.8;393.3;12.04
0.11329;30.0;4.93;0;0.428;6.897;54.3;6.3361;6;300;16.6;391.25;11.38
0.10153;0.0;12.83;0;0.437;6.279;74.5;4.0522;5;398;18.7;373.66;11.97
0.03615;80.0;4.95;0;0.411;6.63;23.4;5.1167;4;245;19.2;396.9;4.7
0.33983;22.0;5.86;0;0.431;6.108;34.9;8.0555;7;330;19.1;390.18;9.16
5.20177;0.0;18.1;1;0.77;6.127;83.4;2.7227;24;666;20.2;395.43;11.48
18.0846;0.0;18.1;0;0.679;6.434;100.0;1.8347;24;666;20.2;27.25;29.05
0.09068;45.0;3.44;0;0.437;6.951;21.5;6.4798;5;398;15.2;377.68;5.1
0.04981;21.0;5.64;0;0.439;5.998;21.4;6.8147;4;243;16.8;396.9;8.43
0.53412;20.0;3.97;0;0.647;7.52;89.4;2.1398;5;264;13.0;388.37;7.26
0.10659;80.0;1.91;0;0.413;5.936;19.5;10.5857;4;334;22.0;376.04;5.57
0.04527;0.0;11.93;0;0.573;6.12;76.7;2.2875;1;273;21.0;396.9;9.08
0.04544;0.0;3.24;0;0.46;6.144;32.2;5.8736;4;430;16.9;368.57;9.09
0.02985;0.0;2.18;0;0.458;6.43;58.7;6.0622;3;222;18.7;394.12;5.21
13.9134;0.0;18.1;0;0.713;6.208;95.0;2.2222;24;666;20.2;100.63;15.17
0.80271;0.0;8.14;0;0.538;5.456;36.6;3.7965;4;307;21.0;288.99;11.69
0.55778;0.0;21.89;0;0.624;6.335;98.2;2.1107;4;437;21.2;394.67;16.96
0.25199;0.0;10.59;0;0.489;5.783;72.7;4.3549;4;277;18.6;389.43;18.06
8.26725;0.0;18.1;1;0.668;5.875;89.6;1.1296;24;666;20.2;347.88;8.88
0.05302;0.0;3.41;0;0.489;7.079;63.1;3.4145;2;270;17.8;396.06;5.7
0.11027;25.0;5.13;0;0.453;6.456;67.8;7.2255;8;284;19.7;396.9;6.73
2.63548;0.0;9.9;0;0.544;4.973;37.8;2.5194;4;304;18.4;350.45;12.64
0.04417;70.0;2.24;0;0.4;6.871;47.4;7.8278;5;358;14.8;390.86;6.07
2.15505;0.0;19.58;0;0.871;5.628;100.0;1.5166;5;403;14.7;169.27;16.65
15.288;0.0;18.1;0;0.671;6.649;93.3;1.3449;24;666;20.2;363.02;23.24
0.07886;80.0;4.95;0;0.411;7.148;27.7;5.1167;4;245;19.2;396.9;3.56
4.34879;0.0;18.1;0;0.58;6.167;84.0;3.0334;24;666;20.2;396.9;16.29
0.03537;34.0;6.09;0;0.433;6.59;40.4;5.4917;7;329;16.1;395.75;9.5
0.02187;60.0;2.93;0;0.401;6.8;9.9;6.2196;1;265;15.6;393.37;5.03
6.80117;0.0;18.1;0;0.713;6.081;84.4;2.7175;24;666;20.2;396.9;14.7
0.13058;0.0;10.01;0;0.547;5.872;73.1;2.4775;6;432;17.8;338.63;15.37
11.8123;0.0;18.1;0;0.718;6.824;76.5;1.794;24;666;20.2;48.45;22.74
6.39312;0.0;18.1;0;0.584;6.162;97.4;2.206;24;666;20.2;302.76;24.1
0.13262;0.0;8.56;0;0.52;5.851;96.7;2.1069;5;384;20.9;394.05;16.47
0.14932;25.0;5.13;0;0.453;5.741;66.2;7.2254;8;284;19.7;395.11;13.15
0.08826;0.0;10.81;0;0.413;6.417;6.6;5.2873;4;305;19.2;383.73;6.72
0.52693;0.0;6.2;0;0.504;8.725;83.0;2.8944;8;307;17.4;382.0;4.63
18.811;0.0;18.1;0;0.597;4.628;100.0;1.5539;24;666;20.2;28.79;34.37
0.44178;0.0;6.2;0;0.504;6.552;21.4;3.3751;8;307;17.4;380.34;3.76
0.0136;75.0;4.0;0;0.41;5.888;47.6;7.3197;3;469;21.1;396.9;14.8
0.12757;30.0;4.93;0;0.428;6.393;7.8;7.0355;6;300;16.6;374.71;5.19
24.8017;0.0;18.1;0;0.693;5.349;96.0;1.7028;24;666;20.2;396.9;19.77
